Number of Particles,Ray,Single,Times Faster,Number of Particles,Ray,Single,,,,,,,,,Number of Particles,,Times Faster
100,0.463375092,0.154102087,0.33256446,10,0.495951414,0.003106356,0.006263427,,,,,,,,10,,0.006263427
200,0.554491043,0.603889465,1.089087863,20,0.437923431,0.008310795,0.018977735,,,,,,,,20,,0.018977735
300,0.676584244,1.339246511,1.979423145,30,0.43573,0.016197681,0.037173666,,,,,,,,30,,0.037173666
400,0.955657482,2.449225426,2.562869513,40,0.44184041,0.026584387,0.060167396,,,,,,,,40,,0.060167396
500,1.051163912,3.751740456,3.569129813,50,0.452791452,0.044737339,0.098803409,,,,,,,,50,,0.098803409
600,1.258292675,5.591680527,4.443863211,60,0.455964327,0.058433294,0.128153215,,,,,,,,60,,0.128153215
700,1.595377445,7.654134274,4.797694926,70,0.462878942,0.077327728,0.167058211,,,,,,,,70,,0.167058211
800,1.882217407,10.01184845,5.319177483,80,0.44881916,0.09867239,0.219848881,,,,,,,,80,,0.219848881
900,2.314985037,12.83585525,5.544681733,90,0.460069418,0.12742877,0.276977267,,,,,,,,90,,0.276977267
1000,2.689635038,16.14143562,6.001347913,100,0.463375092,0.154102087,0.33256446,,,,,,,,100,,0.33256446
1500,5.981291771,35.53461289,5.940959621,,,,,,,,,,,,200,,1.089087863
2000,10.01867008,63.65117073,6.353255493,,,,,,,,,,,,300,,1.979423145
,,,,,,,,,,,,,,,400,,2.562869513
,,,,,,,,,,,,,,,500,,3.569129813
,,,,,,,,,,,,,,,600,,4.443863211
,,,,,,,,,,,,,,,700,,4.797694926
,,,,,,,,,,,,,,,800,,5.319177483
,,,,,,,,,,,,,,,900,,5.544681733
,,,,,,,,,,,,,,,1000,,6.001347913
,,,,,,,,,,,,,,,1500,,5.940959621
,,,,,,,,,,,,,,,2000,,6.353255493
